player_id,display_name,dribbling_base,dribbling_sas,defending_base,defending_sas,passing_base,passing_sas,shooting_base,shooting_sas
dynamic_de bruyne,K. De Bruyne (Manchester B),80,80,54,56,84,85,72,72
dynamic_mbappé,K. Mbappé (Paris Saint-Germain),79,76,48,49,71,71,78,78
dynamic_rodrigo,Rodri (Manchester B),78,78,75,75,79,79,60,60
dynamic_haaland,E. Haaland (Manchester B),68,65,45,46,60,60,83,83
dynamic_messi,L. Messi (Miami BP),84,84,42,42,82,82,79,80
dynamic_benzema,K. Benzema (Miami BP),82,83,42,44,72,73,79,80
dynamic_lewandowski,R. Lewandowski (FC Barcelona),77,75,40,42,66,66,82,83
dynamic_kane,H. Kane (FC Bayern München),74,74,42,45,71,72,82,84
dynamic_kimmich,J. Kimmich (FC Bayern München),78,79,67,69,82,84,65,65
dynamic_son,Son Heung-Min (FC Bayern München),71,72,41,43,66,67,79,79
dynamic_kun agüero,S. Agüero (FC Bayern München),78,78,40,43,65,66,81,83
dynamic_modrić,L. Modrić (Madrid Chamartin B),84,86,63,66,84,86,63,64
dynamic_neymar jr,Neymar Jr (Madrid Chamartin B),83,83,43,43,78,78,75,75
dynamic_alaba,D. Alaba (Madrid Chamartin B),74,74,82,85,77,76,56,56
dynamic_griezmann,A. Griezmann (Madrid Rosas RB),82,79,50,49,74,71,77,76
dynamic_virgil,V. van Dijk (Liverpool R),61,61,80,82,61,59,46,48
dynamic_m.salah,M. Salah (Liverpool R),78,79,40,41,68,68,79,78
dynamic_ødegaard,M. Ødegaard (Arsenal FC),82,83,54,55,83,83,72,71
dynamic_bernardo,Bernardo Silva (Manchester B),83,83,54,54,73,73,69,69
dynamic_f. de jong,F. de Jong (FC Barcelona),82,82,64,65,82,83,62,62
dynamic_rúben,Rúben Dias (Manchester B),63,63,81,81,65,65,48,48
dynamic_valverde,F. Valverde (Madrid Chamartin B),77,79,64,67,77,79,66,67
dynamic_de ligt,M. de Ligt (FC Bayern München),64,64,81,83,70,71,53,53
dynamic_vini jr.,Vinícius Júnior (Madrid Chamartin B),79,79,43,43,68,68,74,74
dynamic_osimhen,V. Osimhen (SSC Napoli),68,68,49,49,60,60,76,76
dynamic_saka,B. Saka (Arsenal FC),78,79,53,55,71,72,73,74
dynamic_bellingham,J. Bellingham (Madrid Chamartin B),78,78,66,66,75,75,70,70
dynamic_ronaldo,Cristiano Ronaldo (Madrid Chamartin B),75,75,40,40,65,65,76,76
dynamic_hummels,M. Hummels (Madrid Chamartin B),74,75,84,85,77,77,56,55
dynamic_kroos,T. Kroos (Madrid Chamartin B),83,81,63,63,82,81,67,71
dynamic_di maría,Á. Di María (SL Benfica),81,82,49,51,79,80,70,70
dynamic_parejo,Dani Parejo (Villarreal A),82,82,65,65,83,83,69,69
dynamic_immobile,C. Immobile (SS Lazio),70,67,43,40,65,62,80,78
dynamic_casemiro,Casemiro (Manchester United FC),70,73,75,78,73,76,56,59
dynamic_r. varane,R. Varane (Manchester United FC),61,60,76,77,62,62,48,49
dynamic_reus,M. Reus (Manchester United FC),80,81,50,51,79,79,79,78
dynamic_gündoğan,İ. Gündoğan (FC Barcelona),80,80,60,60,81,81,72,72
dynamic_marquinhos,Marquinhos (Paris Saint-Germain),70,70,75,75,71,71,56,56
dynamic_verratti,M. Verratti (Paris Saint-Germain),82,83,68,69,84,84,57,56
dynamic_dybala,P. Dybala (AS Roma),82,81,40,40,73,72,74,73
