player_id,display_name,dribbling,defending,passing,shooting
dynamic_de bruyne,K. De Bruyne (Manchester B),80,54,84,72
dynamic_mbappé,K. Mbappé (Paris Saint-Germain),79,48,71,78
dynamic_rodrigo,Rodri (Manchester B),78,75,79,60
dynamic_haaland,E. Haaland (Manchester B),68,45,60,83
dynamic_messi,L. Messi (Miami BP),84,42,82,79
dynamic_benzema,K. Benzema (Miami BP),82,42,72,79
dynamic_lewandowski,R. Lewandowski (FC Barcelona),77,40,66,82
dynamic_kane,H. Kane (FC Bayern München),74,42,71,82
dynamic_kimmich,J. Kimmich (FC Bayern München),78,67,82,65
dynamic_son,Son Heung-Min (FC Bayern München),71,41,66,79
dynamic_kun agüero,S. Agüero (FC Bayern München),78,40,65,81
dynamic_modrić,L. Modrić (Madrid Chamartin B),84,63,84,63
dynamic_neymar jr,Neymar Jr (Madrid Chamartin B),83,43,78,75
dynamic_alaba,D. Alaba (Madrid Chamartin B),74,82,77,56
dynamic_griezmann,A. Griezmann (Madrid Rosas RB),82,50,74,77
dynamic_virgil,V. van Dijk (Liverpool R),61,80,61,46
dynamic_m.salah,M. Salah (Liverpool R),78,40,68,79
dynamic_ødegaard,M. Ødegaard (Arsenal FC),82,54,83,72
dynamic_bernardo,Bernardo Silva (Manchester B),83,54,73,69
dynamic_f. de jong,F. de Jong (FC Barcelona),82,64,82,62
dynamic_rúben,Rúben Dias (Manchester B),63,81,65,48
dynamic_valverde,F. Valverde (Madrid Chamartin B),77,64,77,66
dynamic_de ligt,M. de Ligt (FC Bayern München),64,81,70,53
dynamic_vini jr.,Vinícius Júnior (Madrid Chamartin B),79,43,68,74
dynamic_osimhen,V. Osimhen (SSC Napoli),68,49,60,76
dynamic_saka,B. Saka (Arsenal FC),78,53,71,73
dynamic_bellingham,J. Bellingham (Madrid Chamartin B),78,66,75,70
dynamic_ronaldo,Cristiano Ronaldo (Madrid Chamartin B),75,40,65,76
dynamic_hummels,M. Hummels (Madrid Chamartin B),74,84,77,56
dynamic_kroos,T. Kroos (Madrid Chamartin B),83,63,82,67
dynamic_di maría,Á. Di María (SL Benfica),81,49,79,70
dynamic_parejo,Dani Parejo (Villarreal A),82,65,83,69
dynamic_immobile,C. Immobile (SS Lazio),70,43,65,80
dynamic_casemiro,Casemiro (Manchester United FC),70,75,73,56
dynamic_r. varane,R. Varane (Manchester United FC),61,76,62,48
dynamic_reus,M. Reus (Manchester United FC),80,50,79,79
dynamic_gündoğan,İ. Gündoğan (FC Barcelona),80,60,81,72
dynamic_marquinhos,Marquinhos (Paris Saint-Germain),70,75,71,56
dynamic_verratti,M. Verratti (Paris Saint-Germain),82,68,84,57
dynamic_dybala,P. Dybala (AS Roma),82,40,73,74
dynamic_stones,J. Stones (Manchester B),74,78,76,51
dynamic_joão cancelo,João Cancelo (FC Barcelona),79,67,78,62
dynamic_mané,S. Mané (FC Barcelona),72,43,64,72
dynamic_j.m. giménez,J. Giménez (Madrid Rosas RB),60,77,64,48
dynamic_r. de paul,R. De Paul (Madrid Rosas RB),77,60,76,67
dynamic_b.fernandes,Bruno Fernandes (Manchester United FC),76,50,78,70
